ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike
16154,Married,Female,70000.0,5.0,Bachelors,Professional,1,2.0,2-5 Miles,North America,47.0,0
23368,Married,Female,60000.0,5.0,Bachelors,Skilled Manual,1,3.0,10+ Miles,North America,41.0,0
17960,Married,Female,40000.0,0.0,Graduate Degree,Clerical,1,0.0,0-1 Miles,Europe,35.0,1
23426,Single,Male,80000.0,5.0,Graduate Degree,Management,1,3.0,0-1 Miles,Pacific,40.0,0
15255,Married,Male,40000.0,0.0,High School,Skilled Manual,1,2.0,5-10 Miles,North America,28.0,1
21207,Married,Male,60000.0,1.0,Partial College,Skilled Manual,1,1.0,5-10 Miles,Pacific,46.0,0
14443,Married,Male,130000.0,1.0,Graduate Degree,Management,1,4.0,0-1 Miles,North America,40.0,0
26495,Single,Female,40000.0,2.0,High School,Professional,1,2.0,10+ Miles,North America,57.0,0
24151,Single,Male,20000.0,1.0,Bachelors,Clerical,0,0.0,0-1 Miles,Europe,51.0,0
27673,Single,Female,60000.0,3.0,Graduate Degree,Management,1,2.0,5-10 Miles,North America,53.0,1
26778,Single,Female,40000.0,0.0,High School,Skilled Manual,1,2.0,5-10 Miles,North America,31.0,0
12452,Married,Male,60000.0,4.0,Graduate Degree,Skilled Manual,1,0.0,1-2 Miles,North America,47.0,1
11386,Married,Female,30000.0,3.0,Bachelors,Clerical,1,0.0,0-1 Miles,Europe,45.0,0
19562,Single,Female,60000.0,2.0,Bachelors,Professional,1,1.0,2-5 Miles,Pacific,37.0,1
16489,Married,Male,30000.0,3.0,High School,Skilled Manual,1,2.0,5-10 Miles,Pacific,55.0,0
16151,Married,Female,60000.0,1.0,Bachelors,Professional,1,1.0,2-5 Miles,North America,48.0,1
25006,Single,Female,30000.0,0.0,Partial College,Skilled Manual,1,1.0,5-10 Miles,North America,28.0,0
20060,Single,Female,30000.0,0.0,High School,Manual,0,1.0,2-5 Miles,Europe,34.0,1
20430,Married,Male,70000.0,2.0,Partial College,Skilled Manual,1,2.0,5-10 Miles,Pacific,52.0,1
23797,Single,Male,20000.0,3.0,Partial High School,Clerical,0,2.0,0-1 Miles,North America,50.0,0
27756,Single,Female,50000.0,3.0,Bachelors,Skilled Manual,0,1.0,0-1 Miles,North America,40.0,0
29301,Married,Male,80000.0,5.0,Bachelors,Professional,1,4.0,1-2 Miles,Pacific,40.0,0
23432,Single,Male,70000.0,0.0,Bachelors,Professional,1,1.0,5-10 Miles,Pacific,37.0,1
23979,Single,Male,10000.0,2.0,Partial College,Manual,0,0.0,0-1 Miles,Europe,50.0,0
25651,Married,Male,40000.0,1.0,Bachelors,Skilled Manual,0,0.0,0-1 Miles,Europe,43.0,1
16179,Single,Female,80000.0,5.0,Bachelors,Professional,1,4.0,1-2 Miles,Pacific,38.0,0
19012,Married,Male,80000.0,3.0,Bachelors,Management,1,1.0,1-2 Miles,North America,56.0,0
25026,Married,Male,20000.0,2.0,Partial High School,Clerical,1,3.0,5-10 Miles,Pacific,54.0,0
23461,Married,Female,90000.0,5.0,Partial College,Professional,1,3.0,2-5 Miles,North America,40.0,0
11788,Single,Female,70000.0,1.0,Graduate Degree,Professional,1,0.0,2-5 Miles,North America,34.0,0
25559,Single,Male,20000.0,0.0,Bachelors,Clerical,1,0.0,0-1 Miles,Pacific,25.0,1
11270,Married,Male,130000.0,2.0,Graduate Degree,Management,1,3.0,0-1 Miles,North America,42.0,1
24611,Married,Male,90000.0,0.0,Bachelors,Professional,0,4.0,10+ Miles,Pacific,35.0,1
23893,Married,Male,50000.0,3.0,Bachelors,Skilled Manual,1,3.0,10+ Miles,North America,41.0,0
19164,Single,Female,70000.0,0.0,Bachelors,Professional,0,1.0,2-5 Miles,North America,38.0,1
23491,Single,Male,100000.0,0.0,Partial College,Professional,0,4.0,1-2 Miles,North America,45.0,0
29380,Married,Female,20000.0,3.0,High School,Manual,1,0.0,0-1 Miles,Europe,41.0,1
29424,Married,Male,10000.0,0.0,Partial High School,Manual,1,2.0,0-1 Miles,Europe,32.0,0
12133,Married,Female,130000.0,3.0,Partial College,Professional,1,3.0,5-10 Miles,Europe,50.0,1
16753,Single,Female,70000.0,0.0,Partial College,Skilled Manual,1,2.0,5-10 Miles,North America,34.0,1
12871,Single,Female,30000.0,0.0,Partial College,Clerical,0,1.0,2-5 Miles,Europe,29.0,0
25665,Single,Female,20000.0,0.0,High School,Manual,0,1.0,1-2 Miles,Europe,28.0,0
12212,Married,Female,10000.0,0.0,Graduate Degree,Manual,1,0.0,0-1 Miles,Europe,37.0,1
20380,Married,Female,60000.0,3.0,Graduate Degree,Management,1,2.0,10+ Miles,North America,69.0,0
19441,Married,Male,40000.0,0.0,Graduate Degree,Clerical,1,0.0,0-1 Miles,Europe,43.0,1
25970,Single,Female,60000.0,4.0,Bachelors,Skilled Manual,0,2.0,0-1 Miles,North America,41.0,1
15529,Married,Male,60000.0,4.0,Bachelors,Professional,1,2.0,2-5 Miles,North America,43.0,1
20897,Married,Female,30000.0,1.0,Bachelors,Skilled Manual,1,2.0,0-1 Miles,Europe,40.0,0
17462,Married,Male,70000.0,3.0,Graduate Degree,Management,1,2.0,5-10 Miles,North America,53.0,1
25074,Married,Female,70000.0,4.0,Bachelors,Professional,1,2.0,2-5 Miles,North America,42.0,1
20376,Single,Female,70000.0,3.0,Graduate Degree,Management,1,2.0,5-10 Miles,North America,52.0,1
18066,Single,Male,70000.0,5.0,Bachelors,Management,1,3.0,10+ Miles,North America,60.0,1
11817,Single,Female,70000.0,4.0,Graduate Degree,Professional,1,0.0,2-5 Miles,North America,35.0,1
15555,Married,Female,60000.0,1.0,Partial College,Skilled Manual,1,1.0,2-5 Miles,North America,45.0,1
18649,Single,Male,30000.0,1.0,High School,Clerical,1,2.0,1-2 Miles,North America,51.0,1
24637,Married,Male,40000.0,4.0,High School,Professional,1,2.0,10+ Miles,North America,64.0,0
21213,Single,Male,70000.0,0.0,Bachelors,Professional,0,1.0,5-10 Miles,Pacific,41.0,0
17482,Single,Female,40000.0,0.0,Partial High School,Clerical,1,2.0,5-10 Miles,North America,29.0,0
11249,Married,Female,130000.0,3.0,Partial College,Professional,1,3.0,0-1 Miles,Europe,51.0,1
14914,Married,Female,40000.0,1.0,Partial College,Clerical,1,1.0,1-2 Miles,North America,49.0,1
16773,Married,Male,60000.0,1.0,Graduate Degree,Skilled Manual,1,0.0,0-1 Miles,North America,33.0,0
20421,Single,Female,40000.0,0.0,Partial High School,Clerical,1,2.0,5-10 Miles,North America,26.0,0
14545,Married,Female,10000.0,2.0,Partial College,Manual,1,0.0,1-2 Miles,Europe,49.0,0
19174,Single,Female,30000.0,0.0,High School,Manual,0,1.0,2-5 Miles,Europe,32.0,1
18752,Single,Female,40000.0,0.0,High School,Skilled Manual,1,1.0,5-10 Miles,North America,31.0,0
21375,Single,Male,20000.0,2.0,Partial High School,Clerical,1,2.0,5-10 Miles,Pacific,57.0,0
26248,Married,Male,20000.0,3.0,Partial High School,Clerical,0,2.0,0-1 Miles,North America,52.0,0
19731,Married,Male,80000.0,4.0,Graduate Degree,Management,1,2.0,5-10 Miles,North America,68.0,0
20870,Single,Female,10000.0,2.0,High School,Manual,1,1.0,0-1 Miles,Europe,38.0,1
19758,Single,Male,60000.0,0.0,Partial College,Skilled Manual,0,2.0,1-2 Miles,North America,29.0,0
11809,Married,Male,60000.0,2.0,Bachelors,Skilled Manual,1,0.0,0-1 Miles,North America,38.0,1
26663,Single,Female,60000.0,2.0,Bachelors,Professional,0,1.0,0-1 Miles,Pacific,39.0,1
12610,Married,Female,30000.0,1.0,Bachelors,Clerical,1,0.0,0-1 Miles,Europe,47.0,0
11897,Single,Male,60000.0,2.0,Bachelors,Professional,0,1.0,0-1 Miles,Pacific,37.0,1
17994,Single,Male,20000.0,2.0,High School,Manual,1,2.0,0-1 Miles,Europe,42.0,0
25940,Single,Male,20000.0,2.0,Partial High School,Clerical,1,2.0,5-10 Miles,Pacific,55.0,1
19057,Married,Female,120000.0,3.0,Bachelors,Management,0,2.0,10+ Miles,Europe,52.0,1
21695,Married,Male,60000.0,0.0,Graduate Degree,Skilled Manual,1,0.0,1-2 Miles,North America,39.0,1
13620,Single,Male,70000.0,0.0,Bachelors,Professional,0,3.0,10+ Miles,Pacific,30.0,1
28906,Married,Male,80000.0,4.0,High School,Professional,1,2.0,10+ Miles,Europe,54.0,0
17458,Single,Male,70000.0,3.0,High School,Professional,1,0.0,5-10 Miles,North America,52.0,1
14569,Married,Male,60000.0,1.0,Graduate Degree,Professional,1,0.0,0-1 Miles,North America,35.0,0
23668,Married,Female,40000.0,4.0,High School,Professional,1,2.0,5-10 Miles,North America,59.0,1
12728,Single,Male,30000.0,0.0,Partial College,Clerical,0,1.0,1-2 Miles,Europe,27.0,0
26849,Married,Male,10000.0,3.0,Partial High School,Manual,1,2.0,0-1 Miles,Europe,43.0,0
29094,Married,Male,30000.0,3.0,High School,Skilled Manual,1,2.0,5-10 Miles,Pacific,54.0,1
25954,Married,Male,60000.0,0.0,Partial College,Skilled Manual,0,2.0,1-2 Miles,North America,31.0,0
11699,Single,Male,60000.0,0.0,Bachelors,Skilled Manual,0,2.0,0-1 Miles,North America,43.0,0
13122,Married,Female,80000.0,0.0,Bachelors,Professional,1,1.0,1-2 Miles,Pacific,41.0,1
19066,Married,Male,130000.0,4.0,Partial College,Professional,0,3.0,10+ Miles,Europe,54.0,0
29191,Single,Female,130000.0,1.0,Graduate Degree,Management,0,1.0,0-1 Miles,Pacific,36.0,1
26651,Single,Male,80000.0,4.0,Graduate Degree,Management,1,0.0,0-1 Miles,Pacific,36.0,1
16390,Single,Male,30000.0,1.0,Bachelors,Clerical,0,0.0,0-1 Miles,Europe,38.0,1
22994,Married,Female,80000.0,0.0,Bachelors,Management,1,1.0,1-2 Miles,North America,34.0,1
15465,Married,Female,10000.0,0.0,Partial College,Manual,0,1.0,0-1 Miles,Pacific,25.0,0
26298,Married,Female,50000.0,1.0,Bachelors,Skilled Manual,1,0.0,2-5 Miles,North America,34.0,1
13453,Married,Female,130000.0,0.0,Bachelors,Management,1,3.0,0-1 Miles,North America,45.0,1
11699,Single,Male,60000.0,0.0,Bachelors,Skilled Manual,0,2.0,0-1 Miles,North America,43.0,0
28799,Single,Female,40000.0,2.0,Partial College,Clerical,0,1.0,1-2 Miles,North America,47.0,1
22088,Married,Female,130000.0,1.0,Bachelors,Management,1,2.0,0-1 Miles,North America,45.0,1
12768,Married,Male,30000.0,1.0,High School,Clerical,1,1.0,2-5 Miles,North America,52.0,1
11255,Married,Male,70000.0,4.0,Graduate Degree,Management,1,2.0,5-10 Miles,North America,73.0,0
20606,Married,Female,70000.0,0.0,Bachelors,Professional,1,4.0,10+ Miles,Pacific,32.0,1
25307,Married,Female,40000.0,1.0,Bachelors,Skilled Manual,1,1.0,1-2 Miles,Europe,32.0,1
18847,Married,Female,60000.0,2.0,Graduate Degree,Management,1,2.0,5-10 Miles,North America,70.0,0
13287,Single,Male,110000.0,4.0,Bachelors,Management,1,4.0,5-10 Miles,North America,42.0,1
20228,Married,Male,100000.0,0.0,Graduate Degree,Management,1,0.0,2-5 Miles,Pacific,40.0,1
19608,Married,Male,80000.0,5.0,Bachelors,Professional,1,4.0,1-2 Miles,Pacific,40.0,0
22042,Married,Female,70000.0,0.0,Partial College,Skilled Manual,1,2.0,5-10 Miles,North America,34.0,1
23275,Married,Male,30000.0,2.0,High School,Skilled Manual,1,2.0,1-2 Miles,North America,49.0,0
17845,Single,Female,20000.0,0.0,Partial High School,Manual,0,2.0,1-2 Miles,Europe,32.0,0
21441,Married,Male,50000.0,4.0,Bachelors,Management,1,2.0,10+ Miles,North America,64.0,0
12121,Single,Male,60000.0,3.0,High School,Professional,1,2.0,10+ Miles,North America,53.0,1
28323,Single,Male,70000.0,0.0,Bachelors,Professional,0,2.0,5-10 Miles,Pacific,43.0,1
22936,Single,Female,60000.0,1.0,Partial College,Skilled Manual,0,1.0,0-1 Miles,Pacific,45.0,1
19012,Married,Male,80000.0,3.0,Bachelors,Management,1,1.0,1-2 Miles,North America,56.0,0
24643,Single,Female,60000.0,4.0,Bachelors,Management,1,2.0,10+ Miles,North America,63.0,0
13353,Single,Female,60000.0,4.0,Graduate Degree,Management,1,2.0,10+ Miles,North America,61.0,1
22707,Single,Female,30000.0,0.0,Partial College,Clerical,0,1.0,2-5 Miles,Europe,30.0,0
14090,Married,Female,30000.0,0.0,Partial High School,Clerical,0,2.0,0-1 Miles,North America,28.0,0
12236,Married,Female,20000.0,1.0,Partial College,Manual,1,0.0,0-1 Miles,Europe,65.0,0
22830,Married,Male,120000.0,4.0,Partial College,Management,1,3.0,10+ Miles,Europe,56.0,0
17858,Married,Male,40000.0,4.0,High School,Skilled Manual,1,2.0,2-5 Miles,North America,44.0,1
14312,Married,Female,60000.0,1.0,Partial College,Skilled Manual,1,1.0,5-10 Miles,Pacific,45.0,0
12871,Single,Female,30000.0,0.0,Partial College,Clerical,0,1.0,2-5 Miles,Europe,29.0,0
18740,Married,Male,80000.0,5.0,Bachelors,Professional,0,1.0,0-1 Miles,Pacific,47.0,1
18363,Married,Male,40000.0,0.0,High School,Skilled Manual,1,2.0,5-10 Miles,North America,28.0,1
15302,Single,Female,70000.0,1.0,Graduate Degree,Professional,1,0.0,2-5 Miles,North America,34.0,1
27745,Single,Male,40000.0,2.0,Bachelors,Management,1,2.0,5-10 Miles,Pacific,63.0,1
15019,Single,Female,30000.0,3.0,High School,Skilled Manual,1,2.0,5-10 Miles,Pacific,55.0,0
18572,Married,Female,60000.0,0.0,Graduate Degree,Professional,1,0.0,0-1 Miles,North America,39.0,0
19228,Married,Female,40000.0,2.0,Partial College,Clerical,1,1.0,0-1 Miles,North America,48.0,0
27835,Married,Male,20000.0,0.0,Partial High School,Manual,1,2.0,0-1 Miles,Europe,32.0,0
17436,Married,Male,60000.0,2.0,High School,Professional,0,2.0,1-2 Miles,North America,51.0,0
27505,Single,Female,40000.0,0.0,High School,Skilled Manual,1,2.0,5-10 Miles,North America,30.0,0
29132,Single,Female,40000.0,0.0,Bachelors,Professional,1,1.0,2-5 Miles,North America,42.0,1
22294,Single,Female,70000.0,0.0,Bachelors,Professional,0,1.0,2-5 Miles,North America,37.0,1
23549,Single,Male,30000.0,0.0,High School,Skilled Manual,1,2.0,5-10 Miles,North America,30.0,0
16410,Single,Female,10000.0,4.0,Partial High School,Manual,1,2.0,0-1 Miles,Europe,41.0,1
19748,Married,Male,20000.0,4.0,High School,Skilled Manual,0,2.0,1-2 Miles,Pacific,60.0,0
12274,Single,Male,10000.0,2.0,High School,Manual,1,0.0,0-1 Miles,Europe,35.0,0
12121,Single,Male,60000.0,3.0,High School,Professional,1,2.0,10+ Miles,North America,53.0,1
24745,Single,Female,30000.0,2.0,High School,Skilled Manual,0,2.0,0-1 Miles,North America,49.0,0
18613,Single,Male,70000.0,0.0,Bachelors,Professional,0,1.0,2-5 Miles,North America,37.0,1
20414,Married,Female,60000.0,0.0,Partial College,Skilled Manual,1,2.0,5-10 Miles,North America,29.0,0
17533,Married,Male,40000.0,3.0,Partial College,Professional,0,2.0,5-10 Miles,North America,73.0,1
26150,Single,Female,70000.0,0.0,Bachelors,Professional,0,1.0,0-1 Miles,Pacific,41.0,1
15879,Married,Male,70000.0,5.0,Bachelors,Management,1,2.0,2-5 Miles,North America,61.0,0
28468,Married,Female,10000.0,2.0,Partial College,Manual,1,0.0,1-2 Miles,Europe,51.0,0
12774,Married,Female,40000.0,1.0,Partial College,Clerical,1,1.0,1-2 Miles,North America,51.0,1
22118,Single,Female,70000.0,3.0,Graduate Degree,Management,1,2.0,5-10 Miles,North America,53.0,1
11669,Single,Female,70000.0,2.0,Bachelors,Skilled Manual,1,1.0,2-5 Miles,North America,38.0,0
28269,Single,Female,130000.0,1.0,Bachelors,Management,0,1.0,2-5 Miles,North America,45.0,0
24273,Married,Female,20000.0,2.0,Partial High School,Clerical,1,2.0,5-10 Miles,Pacific,55.0,1
22219,Married,Female,60000.0,2.0,High School,Professional,1,2.0,5-10 Miles,North America,49.0,0
16247,Single,Female,60000.0,4.0,Graduate Degree,Skilled Manual,1,0.0,1-2 Miles,North America,47.0,0
14592,Married,Female,60000.0,0.0,Graduate Degree,Professional,1,0.0,0-1 Miles,North America,40.0,0
14389,Married,Male,60000.0,2.0,Bachelors,Management,1,0.0,2-5 Miles,North America,59.0,0
25261,Married,Male,40000.0,0.0,High School,Skilled Manual,1,2.0,5-10 Miles,North America,27.0,0
22830,Married,Male,120000.0,4.0,Partial College,Management,1,3.0,10+ Miles,Europe,56.0,0
23248,Married,Female,10000.0,2.0,High School,Manual,1,2.0,1-2 Miles,North America,53.0,0
13337,Married,Female,80000.0,5.0,Bachelors,Management,1,2.0,5-10 Miles,North America,64.0,0
26490,Single,Male,70000.0,2.0,Bachelors,Management,0,1.0,2-5 Miles,North America,59.0,1
26452,Single,Male,50000.0,3.0,Graduate Degree,Management,1,2.0,10+ Miles,North America,69.0,0
19889,Single,Female,70000.0,2.0,Partial High School,Skilled Manual,0,2.0,2-5 Miles,North America,54.0,1
15926,Single,Female,120000.0,3.0,High School,Professional,1,4.0,5-10 Miles,Europe,50.0,1
20828,Married,Female,30000.0,4.0,Graduate Degree,Clerical,1,0.0,0-1 Miles,Europe,45.0,1
28395,Single,Male,40000.0,0.0,Bachelors,Professional,0,0.0,0-1 Miles,Europe,39.0,1
20942,Single,Female,20000.0,0.0,High School,Manual,0,1.0,5-10 Miles,Europe,31.0,0
24643,Single,Female,60000.0,4.0,Bachelors,Management,1,2.0,10+ Miles,North America,63.0,0
23571,Married,Female,40000.0,2.0,Bachelors,Management,1,2.0,0-1 Miles,Pacific,66.0,1
28657,Single,Male,60000.0,2.0,Bachelors,Skilled Manual,1,0.0,2-5 Miles,North America,36.0,1
17337,Single,Male,40000.0,0.0,High School,Skilled Manual,1,1.0,5-10 Miles,North America,31.0,0
19784,Married,Female,80000.0,2.0,High School,Skilled Manual,1,2.0,5-10 Miles,Pacific,50.0,1
15608,Single,Female,30000.0,0.0,Partial College,Clerical,0,1.0,2-5 Miles,Europe,33.0,0
28379,Married,Male,30000.0,1.0,Bachelors,Skilled Manual,1,2.0,0-1 Miles,Europe,40.0,0
17926,Married,Female,56419.95172968624,0.0,Bachelors,Clerical,0,0.0,0-1 Miles,Pacific,28.0,1
23586,Married,Female,80000.0,0.0,Bachelors,Management,1,1.0,1-2 Miles,North America,34.0,1
20877,Single,Male,30000.0,1.0,Bachelors,Clerical,1,0.0,1-2 Miles,Europe,37.0,1
13934,Married,Male,40000.0,4.0,High School,Skilled Manual,1,2.0,2-5 Miles,North America,46.0,0
26154,Married,Male,60000.0,1.0,Partial College,Skilled Manual,1,1.0,5-10 Miles,Pacific,43.0,1
